0,1,2,3,4,5,6,7,8,9,10,11
,Kel Danau Tundai,,Jl. Bangaris Bukit Pinang RT 01/02,,,,,Dermaga Kecil,,,
,,,Kel. Tanjung Pinang,,,,,tempat Sembayang,,,
,,,0852 5111 9277,,,,,,,,
,,,,,,,,,,,
11,Kalawa Water Park,5 Ha,Andina Theresia Narang,,,Buatan,,Parkir Kendaraan,Pemandian,,
,"Jl. Tjilik Riwut Km 6,5",,Jl.RTA Milono,,,,,Kamar Mandi/WC/Toilet,Hiburan Tirta,,
,"Kel. Bukit Tunggal, Kec. Jekan Raya",,0811 5231 131 (Bpk.Jaya),,,,,"Perangkat Keselamatan (Pelampung,Baju Safety, Rambu-Rambu)",Hiburan Umum,,
,oeiyunita87@gmail.com,,,,,,,Fasilitas Air Bersih,,,
,www.kalawaboulevard.com,,,,,,,Tempat Sampah,,,
,,,,,,,,Penerangan Jalan,,,
,,,,,,,,Papan Informasi,,,
,,,,,,,,Sarana Ibadah,,,
,,,,,,,,Sarana Kuliner,,,
,,,,,,,,Pemadam Kebakaran,,,
,,,,,,,,Sarana P3K,,,
,,,,,,,,Sarana Kamar Ganti Pakaian,,,
12,Danau Hanjalutung,70 Ha,Bpk. Dalaji/POKDARWIS,Alam,,,Minat Khusus,Kamar Mandi/WC/Toilet,Pemandangan Alam,,
,"Kel. Petuk Ketimpun, Kec. Jekan Raya",,"Kel. Petuk Ketimpun, Kec. Jekan Raya",,,,,Tempat Tambat Klotok,Pemancingan,,
13,Pesona Alam Lestari (PAL),10 Ha,Darmawan,,,Buatan,,Parkir Kendaraan,Hiburan Umum,,
,Jl. Maduhara Kereng Bangkirai,,Jl.Mahir Mahar,,,,,Kamar Mandi/WC/Toilet,,,
,"Kel. Kereng Bangkirai, Kec. Sebangau",,0812 5071 772,,,,,"Perangkat Keselamatan (Pelampung,Baju Safety, Rambu-Rambu)",,,
,,,,,,,,Fasilitas Air Bersih,,,
,,,,,,,,Tempat Sampah,,,
,,,,,,,,Sarana Ibadah,,,
,,,,,,,,Sarana Kuliner,,,
,,,,,,,,"Gazebo, Panggung Hiburan",Pemandangan Alam,,
14,Kereng Bangkirai,,Bpk. Unda Jalaini/POKDARWIS,Alam,,Buatan,,Parkir Kendaraan,Pemancingan,,
,Jl. Mangku Raya RT 02/01,,Jl. Mangku Raya RT 02/01,,,,,Kamar Mandi/WC/Toilet,Hiburan Umum,,
,"Kel. Kereng Bangkirai, Kec. Sebangau",,0853 4550 8945,,,,,Fasilitas Air Bersih,,,
,,,,,,,,Tempat Sampah,,,
,,,,,,,,Fasilitas Peneragan/Listrik,,,
,,,,,,,,Penerangan Jalan Objek Wisata,,,
,,,,,,,,Sambungan Pusat Informasi Obyek Wisata,,,
,,,,,,,,Sarana Ibadah,,,
,,,,,,,,,,,
15,Kawasan Souvenir/Pasar Besar,,Jl.Batam No 58-60,,,Buatan,,Parkir Kendaraan,Penjualan Souvenir khas Kalteng,,
,Jl.Batam,,0812 5141 0017,,,,,Kamar Mandi/WC/Toilet,,,
,"Kel. Pahandut, Kec.Pahandut",,,,,,,Fasilitas Listrik,,,
,,,,,,,,Tempat Sampah,,,
,,,,,,,,Penerangan Jalan Objek Wisata,,,
,,,,,,,,Toko Cinderamata,,,
,,,,,,,,Sarana Ibadah,,,
,,,,,,,,Sarana Kuliner,,,
,,,,,,,,Fasilitas Pemadam Kebakaran,,,
,,,,,,,,,,,
16,Sandung Ngabe Sukah,,Ahi Waris Keluarga Ngabe Sukah,,Budaya,,,Parkir Kendaraan,tempat Budaya Sandung/Tempat,,
,Jl. Darmosugondo,,Jl. Darmosugondo No.93,,,,,"Perangkat Keselamatan (Pelampung,Baju Safety, Rambu-Rambu)",Penyimpanan Tulang para leluhur,,
,"Kel.Pahandut, Kec.Pahandut",,0813 5286 3794 (Betsi N.S),,,,,Fasilitas Air Bersih,,,
,,,,,,,,Tempat Sampah,,,
,,,,,,,,Fasilitas Peneragan/Listrik,,,
,,,,,,,,Penerangan Jalan Objek Wisata,,,
,,,,,,,,Papan Informasi,,,
,,,,,,,,Toko Cinderamata,,,
,,,,,,,,Sarana Ibadah,,,
,,,,,,,,Sarana Kuliner,,,
,,,,,,,,,,,
17,Desa Wisata Kanarakan,"105,5 Km",Akianu (Lurah),Alam,Budaya,Buatan,Minat Khusus,Parkir Kendaraan (Klotok),Alam,,
,"Kel Kanarakan, Kec. Bukit Batu",,Kelurahan Kanarakan,,,,Mancing,Fasilitas Air Bersih,Budaya masyarakat Lokal,,
,,,0813 5272 0702,,,,,Sambungan Pusat Informasi,,,
,,,Benny (RW 01),,,,,,,,
,,,0813 4926 6154,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
18,Pura Sali Paseban Batu,360 M,,,Budaya,,,Parkir Kendaraan,tempat wisata relegi,,
,Jl. Btu Banama,,,,,,,Kamar Mandi/WC/Toilet,,,
,"Kel. Tangkiling, Kec. Bukit Batu",,,,,,,Fasilitas Air Bersih,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,Sarana Ibadah,,,
,,,,,,,,,,,
19,Taman Wisata Alam Tangkiling,2.094 Ha,BKSDA Kementrian Lingkungan Hidup,Alam,,,Minat Khusus,Parkir Kendaraan,pemandangan alam,-1983624,
,Jl. Tjilik Riwut/JL. Pariwisata RT 05/03,TWA : 533 Ha,Jl. Pariwisata,,,,Hacking,Kamar Mandi/WC/Toilet,"tempat Hacking, tracking",113759752,
,"Kel. Banturung, Kec. Bukit Batu",CA : 2.061 Ha,0813 4907 742,,,,Tracking,"Perangkat Keselamatan (Pelampung,Baju Safety, Rambu-Rambu)",perkemahan,,
,,,0953 8614 1988,,,,Perkemahan,Fasilitas Air Bersih,,,
,,,,,,,,Tempat Sampah,,,
,,,,,,,,Fasilitas Peneragan/Listrik,,,
,,,,,,,,Penerangan Jalan Objek Wisata,,,
,,,,,,,,Papan Informasi,,,
,,,,,,,,Toko Cinderamata,,,
,,,,,,,,Sambungan Pusat Informasi Obyek Wisata,,,
,,,,,,,,Sarana Tempat Ibadah,,,
,,,,,,,,Sarana Kuliner,,,
,,,,,,,,Fasilitas Pemadam Kebakaran,,,
,,,,,,,,Sarana P3K,,,
,,,,,,,,Aula terbuka,Hiburan Umum,,
20,Pemancingan Anugrah,,"Drs.Ir. Putrus Soewar Senas,Mp",,,Buatan,,Parkir Kendaraan,Pemancingan,,
,Jl. Pariwisata,,Jl. Krakatau No 23 Palangka Raya,,,,,Kamar Mandi/WC/Toilet,,,
,"Kel. Banturung, Kec. Bukit Batu",,0812 5086 666,,,,,"Perangkat Keselamatan (Pelampung,Baju Safety, Rambu-Rambu)",,,
,,,,,,,,Fasilitas Air Bersih,,,
,,,,,,,,Tempat Sampah,,,
,,,,,,,,Fasilitas Peneragan/Listrik,,,
,,,,,,,,Penerangan Jalan Objek Wisata,,,
,,,,,,,,Papan Informasi,,,
,,,,,,,,Sarana Kuliner,,,
,,,,,,,,Fasilitas Pemadam Kebakaran,,,
,,,,,,,,Sarana P3K,,,
,,,,,,,,,,,
21,Bukit Tangkiling Batarung,6 Ha,Yadi Untung,Alam,Budaya,,,Parkir Kendaraan,Pemandangan Alam,,
,Jl. Batu Banama,,Jl. Tjilik Riwut Km 34,,,,,Kamar Mandi/WC/Toilet,,,
,"Kel. Tangkiling, Kec. Bukit Batu",,0852 4904 3613,,,,,Fasilitas Air Bersih,,,
,,,,,,,,Tempat Sampah,,,
,,,,,,,,Fasilitas Peneragan/Listrik,,,
,,,,,,,,Penerangan Jalan Objek Wisata,,,
,,,,,,,,Papan Informasi,,,
,,,,,,,,Sarana Tempat Ibadah,,,
22,Sei Batu,,Kelompok Sadar Wisata Pulau Kaja,alam,,,Minat Khusus,Tempat Sarana Parkir,Wisata Tirta,,
,Jl.Pehung Kel Sei Gohong,,Winfried Duni,,,,,Kamar Mandi/WC/Toilet/Kamar Ganti,Pemandian,,
,,,Jl. Gereja No.4,,,,,Fasilitas Tempat sampah,,,
,,,8.53E+10,,,,,Pusat informasi,,,
,,,,,,,,Sarana Ibadah,,,
,,,,,,,,Kuliner,,,
,,,,,,,,Gazebo,,,
,,,,,,,,"Pos Jaga, Pos Wisata, Selter/Pos Karcis",,,
23,susur sungai Kahayan,,Kelompok sadar Wisata Susur,alam,Budaya,,Minat Khusus,Pelampung,susur sungai di aliran sungai,,
,1. Bwah Jembatan Kahayan,,Sungai Kahayan,,,,Permainan Air,Pemandu,Kahayan,,
,2. Dermaga Plamboyan/ Bawah Tugu Soekarno,,Pak Utuh (081253180760,,,,,WC/Toilet,,,
,3. Dermaga Rambang,,,,,,,Cafe,,,
,,,Kalimantan Toer Destinatiaon,,,,,,,,
,,,8.13E+10,,,,Mancing,,,,
,,,,,,,,,,,
,,,,,,,,,,,
24,Taman Sabangau,,BKSDA Prov. Kalteng,Alam,,,,,pemandangan Alam,,
,(Sungai Koran),,,,,,,,,,
,,,,,,,,,Budaya Masyarakat Lokal,,
25,Tajahan Cilik Riwut,10.000 km 2,Majelis daerah Agama Hindu,,Budaya,,,,tempat keramat,,
,,,Kota P.Raya,,,,,,,,
,,,,,,,,,,,
26,Monument Soekarno,,Biro Aset Setda,,,Buatan,,WC/Toilet,peletakan batu pertama,,
,,,Provinsi Kalteng,,,,,Kuliner,pembentukan Kota P.Raya,,
,,,,,,,,,,,
,,,,,,,,,,,
27,Betang Mandala Wisata,,Dinas Kebudayaan dan Pariwisata,,Budaya,Buatan,,WC/Toilet,replika Rumah Betang,,
,“eka Tinggang Nganderang”,,Provinsi Kalteng,,,,,Panggung Hiburan,,,
,Jl. DI. Penjaitan Palangka Raya,,,,,,,Parkir,,,
,,,,,,,,,,,
,,,,,,,,,,,
28,Arboretum Nyaru Menteng,,BKSDA,alam,,,,Pusat Informasi,alam,,
,Jl. Cilik RiwutKm. 29,,,,,,,WC/Toilet,pusat rehabilitas orang Hutan,,
,,,,,,,,Parkir,,,
,,,,,,,,,,,
,,,,,,,,,,,
29,Danau Tahai,,Dinas Kebudayaan dan Pariwisata,alam,,,Minat Khusus,Pusat Informasi,alam,,
,Jl. Cilik Riwut Km.29,,Provinsi Kalteng,,,,Pemancingan,WC/Toilet,pemancingan,,
,,,,,,,,Parkir,,,
,,,,,,,,Kuliner,,,
,,,,,,,,Gazebo,,,
,,,,,,,,Cafe,,,
,,,,,,,,Parkir,,,
,,,,,,,,Gerbang Pintu Masuk,,,
,,,,,,,,,,,
30.,Museum Balanga,,Dinas Kebudayaan dan Pariwisata,,Budaya,Buatan,,Pusat Informasi,tempat peninggalan,-2195834,
,Jl. Cilik Riwut Km.2.5,,Provinsi Kalteng,,,,,WC/Toilet,benda sejarah,113902552,
,,,,,,,,Parkir,,,
,,,,,,,,Kuliner,,,
,,,,,,,,Gazebo,,,
,,,,,,,,Aula,,,
,,,,,,,,Parkir,,,
,,,,,,,,Gerbang Pintu Masuk,,,
,,,,,,,,,,,
,,,,,,,,,,,
31,Bukit Karmel,,Keuskupan Kota Palangka Raya,,,,Minat Khusus,Pusat Informasi,,,
,Jl.Taman Alam,,,,,,Tempat Relegi,WC/Toilet,tempat pertapaan biarawan,,
,,,,,,,,Parkir,,,
,,,,,,,,Tempat Ibadah,,,
,,,,,,,,Gazebo,,,
,,,,,,,,Aula,,,
,,,,,,,,Parkir,,,
,,,,,,,,Gerbang Pintu Masuk,,,
,,,,,,,,,,,
,,,,,,,,,,,
32,Pulau Kaja,,BOSF,Alam,,,Minat Khusus,Dermaga,tempat pelepasliaran,,
,Jl. Pehung Kel. Sei Gohong,,,,,,orang Hutan,Parkir,orang hutan,,
,,,,,,,,Gerbang,,,
,,,,,,,,Gazebo,,,
33,Desa Wisata Sei Gohong,"8,900 km2",,Alam,Budaya,Buatan,Minat Khusus,Pusat Informasi,,-1964182,
,,,,,,,,WC/Toilet,sosial budaya masy lokal,11375789,
,,,,,,,,Parkir,,,
,,,,,,,,Tempat Ibadah,,,
,,,,,,,,Gazebo,,,
,,,,,,,,Aula,,,
,,,,,,,,Parkir,,,
,,,,,,,,Penginapan,,,
,,,,,,,,Pos Wisata,,,
,,,,,,,,Gerbang Pintu Masuk,,,
,,,,,,,,Rumah Tua,,,
34,Taman Yos sudarso,,Dinas Permukiman dan Perumahan,,,,buatan,Tempat Sampah,Tempat Kuliner,,
,,,Kota P.Raya,,,,,Tempat Parkir,Taman,,
,,,,,,,,Taman,Hiburan Umum,,
,,,,,,,,Taman Bermain,,,
35,Bumi Perkemahan Tuah Pahoe,,Dinas Permukiman dan Perumahan,,,,buatan,,Wadah Perkemahan,,
,,,Kota P.Raya,,,,,,,,
